ID;createdAt;createdBy;modifiedAt;modifiedBy;name;email;role;active;availabilityPercent;teamId;avatarUrl;identityProvider
"573fa1f8-1f1d-444a-a0f9-b3720e76c475";"2025-07-07T16:06:22Z";"system";"2026-06-17T19:49:46Z";"system";"Lenore Satterfield";"Ryan_Leuschke2@yahoo.com";"MANAGER";true;100;"TEAM_EBPZ";"https://avatars.githubusercontent.com/u/94413670";XSUAA
"31240218-e2e1-4492-9a83-01a56b96c32e";"2026-03-29T10:06:20Z";"system";"2026-06-18T05:26:19Z";"system";"Dr. Ciara Hills";"Lynne89@hotmail.com";"MANAGER";true;100;"TEAM_W7OO";"https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/14.jpg";XSUAA
"9a8050db-8ed0-4d71-9362-b35babb4ee32";"2025-06-26T14:00:20Z";"system";"2026-06-18T04:25:54Z";"system";"Tammy Dooley";"Shelia_Collins@yahoo.com";"MANAGER";true;100;"TEAM_ASRS";"https://avatars.githubusercontent.com/u/31160539";XSUAA
"e097bb52-26e4-4781-a59f-9835dc3ef8e7";"2025-07-21T21:42:14Z";"system";"2026-06-17T23:08:46Z";"system";"Robert Conn";"Ervin_Gusikowski@gmail.com";"MANAGER";true;100;"TEAM_6DLK";"https://avatars.githubusercontent.com/u/10167820";XSUAA
"95088c3a-73aa-4504-ba87-850c148ff382";"2025-11-03T19:12:37Z";"system";"2026-06-18T13:39:30Z";"system";"Saul Volkman-Fisher";"Armando.McLaughlin@gmail.com";"MANAGER";true;100;"TEAM_B5KP";"https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/49.jpg";XSUAA
"aa08163e-9325-4a0c-b1f5-3a3422007645";"2025-11-13T05:09:44Z";"system";"2026-06-18T10:16:53Z";"system";"Serena Harvey";"Estefania94@yahoo.com";"CONSULTANT_FONCTIONNEL";true;64;"TEAM_CEIP";"https://avatars.githubusercontent.com/u/61558971";XSUAA
"815c990d-dabf-47c2-99d5-4dbf5758d933";"2026-03-15T22:15:11Z";"system";"2026-06-18T02:25:04Z";"system";"Dianne Marks";"Rossie95@gmail.com";"CONSULTANT_FONCTIONNEL";true;57;"TEAM_FGKB";"https://avatars.githubusercontent.com/u/62321420";XSUAA
"02787b53-2647-46a0-99cd-6c7cffb3beee";"2026-05-18T05:27:54Z";"system";"2026-06-18T13:23:02Z";"system";"Dixie Mosciski";"Dejon_Little@gmail.com";"CONSULTANT_FONCTIONNEL";true;82;"TEAM_JDUY";"https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/53.jpg";XSUAA
"551d66ea-7b77-4d59-a9a1-b6ccf0c01744";"2025-07-21T20:36:32Z";"system";"2026-06-18T02:08:02Z";"system";"Marlene Funk";"Emma.Boehm93@yahoo.com";"CONSULTANT_FONCTIONNEL";true;70;"TEAM_0CCG";"https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/91.jpg";XSUAA
"d33f25dc-4da6-4d3a-8ae4-68098ec325b3";"2026-02-13T18:23:25Z";"system";"2026-06-18T12:56:27Z";"system";"Miss Hudson Flatley";"Alec8@gmail.com";"CONSULTANT_FONCTIONNEL";true;64;"TEAM_KE08";"https://avatars.githubusercontent.com/u/37647755";XSUAA
"1642d9f3-b184-47ee-b3e6-333f34870557";"2025-08-18T03:14:56Z";"system";"2026-06-18T08:23:47Z";"system";"Gerard Mann";"Drew.Franey@yahoo.com";"CONSULTANT_TECHNIQUE";true;38;"TEAM_E9OH";"https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/male/512/43.jpg";XSUAA
"c08fa64c-5fab-4d22-ae23-62181164e4fb";"2026-02-02T06:30:09Z";"system";"2026-06-18T03:10:11Z";"system";"Llewellyn Weimann";"Marcia.Brown@gmail.com";"CONSULTANT_TECHNIQUE";true;20;"TEAM_DBYZ";"https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/79.jpg";XSUAA
"fe9c1a7f-96c9-4e73-9397-1f29daf186cb";"2026-02-05T13:35:16Z";"system";"2026-06-18T08:59:37Z";"system";"Thalia Streich";"Roslyn80@hotmail.com";"CONSULTANT_TECHNIQUE";true;56;"TEAM_TBJH";"https://avatars.githubusercontent.com/u/34268347";XSUAA
"944f4f6a-a693-41ba-9a16-5ab2f990d83e";"2025-10-23T17:37:31Z";"system";"2026-06-17T20:20:05Z";"system";"Hiram Erdman";"Becky.Parisian@gmail.com";"CONSULTANT_TECHNIQUE";true;81;"TEAM_VLPT";"https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/male/512/8.jpg";XSUAA
"b09550fd-8b85-430b-bbba-3325a04581dd";"2026-05-17T23:38:50Z";"system";"2026-06-18T00:33:55Z";"system";"Marcelino Parker";"Diane_Stroman15@hotmail.com";"CONSULTANT_TECHNIQUE";true;97;"TEAM_OFMM";"https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/94.jpg";XSUAA
"86516bc1-d460-4a16-97e1-9b4cd01845b6";"2025-08-09T18:11:09Z";"system";"2026-06-18T05:46:43Z";"system";"Guido Dickinson";"Darnell_Botsford@yahoo.com";"CONSULTANT_TECHNIQUE";true;60;"TEAM_RFFP";"https://avatars.githubusercontent.com/u/57692386";XSUAA
"5f4a7cd8-9d7f-48ea-a38d-2ae90008be0c";"2026-06-08T16:01:59Z";"system";"2026-06-18T08:33:21Z";"system";"Nickolas Windler";"Roderick.Rutherford-Leffler57@yahoo.com";"CONSULTANT_TECHNIQUE";true;80;"TEAM_YCGP";"https://avatars.githubusercontent.com/u/19080250";XSUAA
"c3d36021-4180-48bf-bf34-0e8a4b07c9ca";"2025-10-29T20:00:33Z";"system";"2026-06-17T23:44:15Z";"system";"Kristopher Fadel";"Drew.Rogahn71@hotmail.com";"CONSULTANT_TECHNIQUE";true;64;"TEAM_RTLX";"https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/male/512/2.jpg";XSUAA
"78d775d5-213c-4b4f-8db8-2c74cad43666";"2025-10-03T19:12:07Z";"system";"2026-06-17T20:34:46Z";"system";"Mr. Billy Ankunding";"Marlin.Glover@yahoo.com";"CONSULTANT_TECHNIQUE";true;60;"TEAM_YOMQ";"https://avatars.githubusercontent.com/u/45798500";XSUAA
"4605897d-84b5-41b0-ac7f-3b75fe5ec779";"2026-05-06T15:47:55Z";"system";"2026-06-17T16:06:27Z";"system";"Roxanne Willms";"Olive.King@hotmail.com";"CONSULTANT_TECHNIQUE";true;95;"TEAM_UDJM";"https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/18.jpg";XSUAA
"2522285c-386e-4397-9c8a-11fb945195a0";"2026-05-15T06:31:28Z";"system";"2026-06-18T10:55:39Z";"system";"Todd Bednar V";"Pete_Tremblay@yahoo.com";"CONSULTANT_TECHNIQUE";true;92;"TEAM_A40S";"https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/45.jpg";XSUAA
"a76fee0e-13d8-4e74-8b99-bc8e888d90e3";"2025-08-08T03:35:49Z";"system";"2026-06-17T20:36:40Z";"system";"Dianna Rolfson";"Ervin97@yahoo.com";"CONSULTANT_TECHNIQUE";true;31;"TEAM_HXGJ";"https://avatars.githubusercontent.com/u/73254701";XSUAA
"2420309b-e0d1-45b4-9aa7-a880fa642944";"2025-11-04T08:39:29Z";"system";"2026-06-18T10:51:00Z";"system";"Jaeden Huel";"Lyle.Stanton5@gmail.com";"CONSULTANT_TECHNIQUE";true;70;"TEAM_9IY2";"https://avatars.githubusercontent.com/u/25547559";XSUAA
"5fd6c5ec-6e4c-4f44-916e-3aa16441aa34";"2026-05-16T03:33:42Z";"system";"2026-06-18T06:34:09Z";"system";"Stephanie Rosenbaum";"Gilberto4@yahoo.com";"CONSULTANT_TECHNIQUE";true;43;"TEAM_ZLBA";"https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/male/512/70.jpg";XSUAA
"6dc6ab89-0a8f-41ee-a4c1-ae1d2a00168a";"2025-07-22T07:07:28Z";"system";"2026-06-18T03:30:16Z";"system";"Raegan Hickle";"Ethel_Friesen@gmail.com";"CONSULTANT_TECHNIQUE";true;37;"TEAM_NIN5";"https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/77.jpg";XSUAA
"62c6e2a3-046d-49ab-84ee-4926d5836b14";"2026-04-11T13:49:37Z";"system";"2026-06-17T19:51:38Z";"system";"Carolyn Mante";"Daniel_Block@hotmail.com";"CONSULTANT_TECHNIQUE";true;70;"TEAM_JLOR";"https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/40.jpg";XSUAA
"6f688038-43aa-49b7-a659-e7a3ef18d96a";"2025-07-24T13:19:53Z";"system";"2026-06-18T07:38:45Z";"system";"Osvaldo Von";"Richard.Pacocha35@gmail.com";"CONSULTANT_TECHNIQUE";true;49;"TEAM_FGWI";"https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/57.jpg";XSUAA
"e2f16d94-8296-480d-8dd1-205c01117b6d";"2025-08-09T15:06:24Z";"system";"2026-06-17T20:51:05Z";"system";"Mohammed Bergstrom";"Shari53@hotmail.com";"CONSULTANT_TECHNIQUE";true;100;"TEAM_FNII";"https://avatars.githubusercontent.com/u/11044109";XSUAA
"a7ee5530-1af4-4605-a48f-5886533c7b85";"2026-05-04T07:18:07Z";"system";"2026-06-18T04:43:20Z";"system";"Mr. Sigmund Sipes";"Shad.Miller2@yahoo.com";"CONSULTANT_TECHNIQUE";true;40;"TEAM_T8TR";"https://avatars.githubusercontent.com/u/97263446";XSUAA
"93dc0a31-0796-4945-acd4-220667eac00a";"2025-10-03T20:20:15Z";"system";"2026-06-18T12:21:05Z";"system";"Marcos Harber";"Corey.Balistreri42@gmail.com";"CONSULTANT_TECHNIQUE";true;100;"TEAM_RE2Y";"https://avatars.githubusercontent.com/u/71761674";XSUAA
"0e5e7b8a-274b-477f-b15a-b724ca62fed7";"2025-12-18T10:19:49Z";"system";"2026-06-17T23:30:30Z";"system";"Billie Kertzmann";"Diane.Shields@gmail.com";"CONSULTANT_TECHNIQUE";true;59;"TEAM_WWZY";"https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/male/512/68.jpg";XSUAA
"4bd62cd4-ea68-4002-8e72-dfdb59301405";"2026-05-16T14:49:28Z";"system";"2026-06-17T16:21:30Z";"system";"Shyanne Parker";"Whitney_Bradtke@hotmail.com";"CONSULTANT_TECHNIQUE";true;87;"TEAM_4ISS";"https://cdn.jsdelivr.net/gh/faker-js/assets-person-portrait/female/512/39.jpg";XSUAA
